speaker,start_time,end_time,utterance,duration_in_seconds,start_time_in_seconds,end_time_in_seconds,bubble_idx,opportunities_to_respond,wait_times,presses_for_explanation,open_ended_questions,praises,behavior_specific_praises,academic_specific_praises,opportunities_to_respond_instance_id,wait_times_instance_id,presses_for_explanation_instance_id,open_ended_questions_instance_id,praises_instance_id,behavior_specific_praises_instance_id,academic_specific_praises_instance_id
student,0m 0s,0m 1s,,1.52,0.0,1.52,0,,,,,,,,0,0,0,0,0,0,0
student,0m 1s,0m 1s,No.,0.24,1.52,1.76,0,,,,,,,,0,0,0,0,0,0,0
student,0m 1s,0m 3s,,1.36,1.76,3.12,0,,,,,,,,0,0,0,0,0,0,0
teacher,0m 3s,0m 3s,Maddie L.,0.8,3.12,3.92,1,,,,,,,,0,0,0,0,0,0,0
teacher,0m 3s,0m 4s,,1.04,3.92,4.96,1,,,,,,,,0,0,0,0,0,0,0
teacher,0m 4s,0m 5s,Yes.,0.48,4.96,5.44,1,,,,,,,,0,0,0,0,0,0,0
student,0m 5s,0m 7s,[Untranscribed],1.6,5.44,7.04,2,,,,,,,,0,0,0,0,0,0,0
teacher,0m 7s,0m 8s,Anna L.,1.12,7.04,8.16,3,,,,,,,,0,0,0,0,0,0,0
teacher,0m 8s,0m 9s,,1.12,8.16,9.28,3,,,,,,,,0,0,0,0,0,0,0
teacher,0m 9s,0m 9s,Greek today.,0.64,9.28,9.92,3,,,,,,,,0,0,0,0,0,0,0
student,0m 9s,0m 11s,[Untranscribed],1.92,9.92,11.84,4,,,,,,,,0,0,0,0,0,0,0
teacher,0m 11s,0m 12s,Kennelly.,0.72,11.84,12.56,5,,,,,,,,0,0,0,0,0,0,0
teacher,0m 12s,0m 13s,,0.56,12.56,13.12,5,,,,,,,,0,0,0,0,0,0,0
teacher,0m 13s,0m 13s,Greek today.,0.72,13.12,13.84,5,,,,,,,,0,0,0,0,0,0,0
student,0m 13s,0m 15s,,1.76,13.84,15.6,6,,,,,,,,0,0,0,0,0,0,0
student,0m 15s,0m 16s,Brandon.,0.799,15.6,16.399,6,,,,,,,,0,0,0,0,0,0,0
student,0m 16s,0m 18s,,2.561,16.399,18.96,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 18s,0m 19s,Sophia.,0.64,18.96,19.6,7,,,,,,,,0,0,0,0,0,0,0
student,0m 19s,0m 20s,[Untranscribed],1.04,19.6,20.64,8,,,,,,,,0,0,0,0,0,0,0
teacher,0m 20s,0m 21s,Greek today.,0.64,20.64,21.28,9,,,,,,,,0,0,0,0,0,0,0
