speaker,start_time,end_time,utterance,duration_in_seconds,start_time_in_seconds,end_time_in_seconds,bubble_idx,opportunities_to_respond,wait_times,presses_for_explanation,open_ended_questions,praises,behavior_specific_praises,academic_specific_praises,opportunities_to_respond_instance_id,wait_times_instance_id,presses_for_explanation_instance_id,open_ended_questions_instance_id,praises_instance_id,behavior_specific_praises_instance_id,academic_specific_praises_instance_id
student,0m 0s,0m 0s,,0.48,0.0,0.48,0,,,,,,,,0,0,0,0,0,0,0
student,0m 0s,0m 1s,Suzanne.,0.64,0.48,1.12,0,,,,,,,,0,0,0,0,0,0,0
student,0m 1s,0m 1s,,0.64,1.12,1.76,0,,,,,,,,0,0,0,0,0,0,0
student,0m 1s,0m 3s,"Oh, dear.",1.4,1.76,3.16,0,,,,,,,,0,0,0,0,0,0,0
student,0m 3s,0m 3s,Dark hair.,0.6,3.16,3.76,0,,,,,,,,0,0,0,0,0,0,0
student,0m 3s,0m 4s,,1.2,3.76,4.96,0,,,,,,,,0,0,0,0,0,0,0
teacher,0m 4s,0m 5s,Let's play.,0.88,4.96,5.84,1,,,,,,,,0,0,0,0,0,0,0
teacher,0m 5s,0m 5s,,0.03,5.84,5.87,1,,,,,,,,0,0,0,0,0,0,0
silence,0m 5s,0m 7s,,2.05,5.87,7.92,2,,,,,,,,0,0,0,0,0,0,0
student,0m 7s,0m 9s,Can you turn it up?,1.12,7.92,9.04,3,,,,,,,,0,0,0,0,0,0,0
student,0m 9s,0m 10s,,0.96,9.04,10.0,3,,,,,,,,0,0,0,0,0,0,0
teacher,0m 10s,0m 11s,Can I turn it up?,1.08,10.0,11.08,4,,,,,,,,0,0,0,0,0,0,0
teacher,0m 11s,0m 12s,You mean my voice?,1.0,11.08,12.08,4,,,,,,,,0,0,0,0,0,0,0
teacher,0m 12s,0m 12s,,0.4,12.08,12.48,4,,,,,,,,0,0,0,0,0,0,0
student,0m 12s,0m 13s,"No, the book.",1.2,12.48,13.68,5,,,,,,,,0,0,0,0,0,0,0
student,0m 13s,0m 14s,,0.8,13.68,14.48,5,,,,,,,,0,0,0,0,0,0,0
student,0m 14s,0m 15s,The book.,0.64,14.48,15.12,5,,,,,,,,0,0,0,0,0,0,0
student,0m 15s,0m 15s,,0.08,15.12,15.2,5,,,,,,,,0,0,0,0,0,0,0
teacher,0m 15s,0m 16s,It doesn't get louder.,0.999,15.2,16.199,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 16s,0m 16s,I'm the book.,0.761,16.199,16.96,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 16s,0m 17s,,0.64,16.96,17.6,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 17s,0m 18s,So they're playing.,0.72,17.6,18.32,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 18s,0m 18s,,0.32,18.32,18.64,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 18s,0m 20s,How do you think our characters are feeling right now?,2.08,18.64,20.72,6,1.0,,,1.0,,,,1,0,0,1,0,0,0
teacher,0m 20s,0m 20s,,0.24,20.72,20.96,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 20s,0m 21s,Happy.,0.48,20.96,21.44,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 21s,0m 22s,They're pretty happy.,0.88,21.44,22.32,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 22s,0m 22s,,0.4,22.32,22.72,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 22s,0m 23s,How can you tell?,0.88,22.72,23.6,6,1.0,,1.0,1.0,,,,2,0,1,2,0,0,0
teacher,0m 23s,0m 24s,,0.72,23.6,24.32,6,,,,,,,,0,0,0,0,0,0,0
student,0m 24s,0m 26s,Because they're laughing.,1.68,24.32,26.0,7,,,,,,,,0,0,0,0,0,0,0
student,0m 26s,0m 30s,,4.83,26.0,30.83,7,,,,,,,,0,0,0,0,0,0,0
teacher,0m 30s,0m 32s,"Hey, can I play?",1.68,30.83,32.51,8,,,,,,,,0,0,0,0,0,0,0
teacher,0m 32s,0m 32s,,0.48,32.51,32.99,8,,,,,,,,0,0,0,0,0,0,0
student,0m 32s,0m 34s,"Hey, there's a lousy.",1.72,32.99,34.71,9,,,,,,,,0,0,0,0,0,0,0
teacher,0m 34s,0m 35s,Right there.,0.36,34.71,35.07,10,,,,,,,,0,0,0,0,0,0,0
teacher,0m 35s,0m 35s,Yeah.,0.24,35.07,35.31,10,,,,,,,,0,0,0,0,0,0,0
teacher,0m 35s,0m 36s,You've got a new character.,0.96,35.31,36.27,10,,,,,,,,0,0,0,0,0,0,0
student,0m 36s,0m 39s,,3.68,36.27,39.95,11,,,,,,,,0,0,0,0,0,0,0
student,0m 39s,0m 42s,You think this can let you play along?,2.4,39.95,42.35,11,,,,,,,,0,0,0,0,0,0,0
student,0m 42s,0m 42s,,0.16,42.35,42.51,11,,,,,,,,0,0,0,0,0,0,0
teacher,0m 42s,0m 43s,"Oh, sure.",1.2,42.51,43.71,12,,,,,,,,0,0,0,0,0,0,0
teacher,0m 43s,0m 44s,,0.72,43.71,44.43,12,,,,,,,,0,0,0,0,0,0,0
student,0m 44s,0m 45s,Jump right in.,0.96,44.43,45.39,13,,,,,,,,0,0,0,0,0,0,0
student,0m 45s,0m 45s,,0.24,45.39,45.63,13,,,,,,,,0,0,0,0,0,0,0
teacher,0m 45s,0m 46s,Is that kind?,0.8,45.63,46.43,14,1.0,,,,,,,3,0,0,0,0,0,0
teacher,0m 46s,0m 47s,,0.88,46.43,47.31,14,,,,,,,,0,0,0,0,0,0,0
teacher,0m 47s,0m 48s,"Yeah, yeah.",0.84,47.31,48.15,14,,,,,,,,0,0,0,0,0,0,0
teacher,0m 48s,0m 49s,To invite someone to play with you.,1.44,48.15,49.59,14,,,,,,,,0,0,0,0,0,0,0
teacher,0m 49s,0m 50s,For sure.,0.6,49.59,50.19,14,,,,,,,,0,0,0,0,0,0,0
teacher,0m 50s,0m 50s,,0.128,50.19,50.318,14,,,,,,,,0,0,0,0,0,0,0
