speaker,start_time,end_time,utterance,duration_in_seconds,start_time_in_seconds,end_time_in_seconds,bubble_idx,opportunities_to_respond,wait_times,presses_for_explanation,open_ended_questions,praises,behavior_specific_praises,academic_specific_praises,opportunities_to_respond_instance_id,wait_times_instance_id,presses_for_explanation_instance_id,open_ended_questions_instance_id,praises_instance_id,behavior_specific_praises_instance_id,academic_specific_praises_instance_id
group,0m 0s,0m 0s,,0.16,0.0,0.16,0,,,,,,,,0,0,0,0,0,0,0
group,0m 0s,0m 0s,I have.,0.4,0.16,0.56,0,,,,,,,,0,0,0,0,0,0,0
group,0m 0s,0m 10s,,10.372,0.56,10.932,0,,,,,,,,0,0,0,0,0,0,0
teacher,0m 10s,0m 13s,[Untranscribed],2.998,10.932,13.93,1,,,,,,,,0,0,0,0,0,0,0
group,0m 13s,0m 25s,[Untranscribed],11.51,13.93,25.44,2,,,,,,,,0,0,0,0,0,0,0
teacher,0m 25s,0m 28s,"All right, one, two, three, Eyes on me.",2.88,25.44,28.32,3,,,,,,,,0,0,0,0,0,0,0
group,0m 28s,0m 35s,[Untranscribed],6.68,28.32,35.0,4,,,,,,,,0,0,0,0,0,0,0
student,0m 35s,0m 36s,[Untranscribed],1.7,35.0,36.7,5,,,,,,,,0,0,0,0,0,0,0
teacher,0m 36s,0m 43s,"So in order to answer this question, what characters or actions in sequels were prejudiced?",7.2,36.7,43.9,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 43s,0m 44s,,0.48,43.9,44.38,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 44s,0m 47s,We need to know what prejudice.,2.8,44.38,47.18,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 47s,0m 47s,,0.72,47.18,47.9,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 47s,0m 49s,Prejudiced means.,1.76,47.9,49.66,6,1.0,,,,,,,1,0,0,0,0,0,0
student,0m 49s,0m 51s,[Untranscribed],1.36,49.66,51.02,7,,,,,,,,0,0,0,0,0,0,0
teacher,0m 51s,0m 55s,"All right, so why do I grizzle?",4.4,51.02,55.42,8,,,,,,,,0,0,0,0,0,0,0
teacher,0m 55s,0m 56s,,0.72,55.42,56.14,8,,,,,,,,0,0,0,0,0,0,0
teacher,0m 56s,0m 57s,"Nikolai, you should be there to stand by.",1.39,56.14,57.53,8,,,,,,,,0,0,0,0,0,0,0
student,0m 57s,0m 59s,[Untranscribed],2.0,57.53,59.53,9,,,,,,,,0,0,0,0,0,0,0
teacher,0m 59s,1m 1s,,1.59,59.53,61.12,10,,,,,,,,0,0,0,0,0,0,0
teacher,1m 1s,1m 1s,So,0.24,61.12,61.36,10,,,,,,,,0,0,0,0,0,0,0
student,1m 1s,1m 2s,[Untranscribed],1.632,61.36,62.992,11,,,,,,,,0,0,0,0,0,0,0
silence,1m 2s,1m 8s,,5.518,62.992,68.51,12,,,,,,,,0,0,0,0,0,0,0
student,1m 8s,1m 10s,[Untranscribed],2.042,68.51,70.552,13,,,,,,,,0,0,0,0,0,0,0
silence,1m 10s,1m 12s,,2.168,70.552,72.72,14,,,,,,,,0,0,0,0,0,0,0
teacher,1m 12s,1m 14s,"Isabelle asked, you want to answer?",1.36,72.72,74.08,15,1.0,,,,,,,2,0,0,0,0,0,0
teacher,1m 14s,1m 15s,What does prejudice mean?,1.0,74.08,75.08,15,1.0,,,,,,,2,0,0,0,0,0,0
student,1m 15s,1m 19s,"Oh, no, I was trying to raise my hand for telling what characters?",4.44,75.08,79.52,16,,,,,,,,0,0,0,0,0,0,0
student,1m 19s,1m 19s,,0.16,79.52,79.68,16,,,,,,,,0,0,0,0,0,0,0
teacher,1m 19s,1m 20s,What characters.,0.72,79.68,80.4,17,1.0,,,,,,,3,0,0,0,0,0,0
teacher,1m 20s,1m 22s,"All right, so first we're gonna have to define prejudice.",2.48,80.4,82.88,17,,,,,,,,0,0,0,0,0,0,0
student,1m 22s,1m 24s,[Untranscribed],1.24,82.88,84.12,18,,,,,,,,0,0,0,0,0,0,0
teacher,1m 24s,1m 25s,Do you have a definition for us?,1.28,84.12,85.4,19,1.0,,,,,,,4,0,0,0,0,0,0
teacher,1m 25s,1m 25s,,0.24,85.4,85.64,19,,,,,,,,0,0,0,0,0,0,0
student,1m 25s,1m 30s,Unfair judgment of a person or group without getting to know them first.,4.64,85.64,90.28,20,,,,,,,,0,0,0,0,0,0,0
student,1m 30s,1m 32s,,1.76,90.28,92.04,20,,,,,,,,0,0,0,0,0,0,0
teacher,1m 32s,1m 34s,Unfair judgment.,2.56,92.04,94.6,21,,,,,,,,0,0,0,0,0,0,0
teacher,1m 34s,1m 35s,,0.91,94.6,95.51,21,,,,,,,,0,0,0,0,0,0,0
silence,1m 35s,1m 38s,,2.987,95.51,98.497,22,,,,,,,,0,0,0,0,0,0,0
student,1m 38s,1m 41s,[Untranscribed],3.003,98.497,101.5,23,,,,,,,,0,0,0,0,0,0,0
teacher,1m 41s,1m 45s,,3.82,101.5,105.32,24,,,,,,,,0,0,0,0,0,0,0
teacher,1m 45s,1m 53s,Unfair judgment of a group or person before or without getting to know them.,7.7,105.32,113.02,24,,,,,,,,0,0,0,0,0,0,0
teacher,1m 53s,1m 53s,,0.88,113.02,113.9,24,,,,,,,,0,0,0,0,0,0,0
teacher,1m 53s,1m 55s,That is the important part.,1.52,113.9,115.42,24,,,,,,,,0,0,0,0,0,0,0
teacher,1m 55s,1m 56s,,0.96,115.42,116.38,24,,,,,,,,0,0,0,0,0,0,0
teacher,1m 56s,2m 2s,"We have this prefix, pre, meaning before",5.68,116.38,122.06,24,,,,,,,,0,0,0,0,0,0,0
student,2m 2s,2m 3s,[Untranscribed],1.867,122.06,123.927,25,,,,,,,,0,0,0,0,0,0,0
silence,2m 3s,2m 6s,,2.933,123.927,126.86,26,,,,,,,,0,0,0,0,0,0,0
teacher,2m 6s,2m 7s,judge.,0.56,126.86,127.42,27,,,,,,,,0,0,0,0,0,0,0
teacher,2m 7s,2m 8s,,0.8,127.42,128.22,27,,,,,,,,0,0,0,0,0,0,0
teacher,2m 8s,2m 9s,Judicial.,0.8,128.22,129.02,27,,,,,,,,0,0,0,0,0,0,0
teacher,2m 9s,2m 9s,,0.56,129.02,129.58,27,,,,,,,,0,0,0,0,0,0,0
teacher,2m 9s,2m 13s,So to judge before judge.,3.84,129.58,133.42,27,,,,,,,,0,0,0,0,0,0,0
teacher,2m 13s,2m 14s,Before what?,0.72,133.42,134.14,27,1.0,,,,,,,5,0,0,0,0,0,0
teacher,2m 14s,2m 14s,,0.32,134.14,134.46,27,,,,,,,,0,0,0,0,0,0,0
teacher,2m 14s,2m 17s,Judge before getting to know someone.,2.67,134.46,137.13,27,,,,,,,,0,0,0,0,0,0,0
teacher,2m 17s,2m 18s,,0.88,137.13,138.01,27,,,,,,,,0,0,0,0,0,0,0
teacher,2m 18s,2m 19s,"All right, Pre.",1.36,138.01,139.37,27,,,,,,,,0,0,0,0,0,0,0
teacher,2m 19s,2m 20s,Judging.,0.64,139.37,140.01,27,,,,,,,,0,0,0,0,0,0,0
teacher,2m 20s,2m 20s,,0.4,140.01,140.41,27,,,,,,,,0,0,0,0,0,0,0
teacher,2m 20s,2m 21s,Judging.,0.72,140.41,141.13,27,,,,,,,,0,0,0,0,0,0,0
teacher,2m 21s,2m 21s,,0.16,141.13,141.29,27,,,,,,,,0,0,0,0,0,0,0
teacher,2m 21s,2m 26s,So thinking you know about someone before you get to know them.,4.8,141.29,146.09,27,,,,,,,,0,0,0,0,0,0,0
teacher,2m 26s,2m 26s,,0.08,146.09,146.17,27,,,,,,,,0,0,0,0,0,0,0
student,2m 26s,2m 27s,"Oh, no, you don't.",1.0,146.17,147.17,28,,,,,,,,0,0,0,0,0,0,0
student,2m 27s,2m 27s,But.,0.28,147.17,147.45,28,,,,,,,,0,0,0,0,0,0,0
teacher,2m 27s,2m 28s,,1.36,147.45,148.81,29,,,,,,,,0,0,0,0,0,0,0
teacher,2m 28s,2m 32s,"So, Christian, what is our definition of prejudice?",3.2,148.81,152.01,29,1.0,,,,,,,6,0,0,0,0,0,0
teacher,2m 32s,2m 32s,,0.56,152.01,152.57,29,,,,,,,,0,0,0,0,0,0,0
student,2m 32s,2m 35s,"Basically, like racism.",2.8,152.57,155.37,30,,,,,,,,0,0,0,0,0,0,0
group,2m 35s,2m 38s,[Untranscribed],2.64,155.37,158.01,31,,,,,,,,0,0,0,0,0,0,0
teacher,2m 38s,2m 41s,Racism and bigotry absolutely can be prejudiced.,3.44,158.01,161.45,32,,,,,,,,0,0,0,0,0,0,0
teacher,2m 41s,2m 42s,,0.55,161.45,162.0,32,,,,,,,,0,0,0,0,0,0,0
teacher,2m 42s,2m 42s,What was the definition?,0.64,162.0,162.64,32,1.0,,,,,,,7,0,0,0,0,0,0
teacher,2m 42s,2m 43s,We just found?,0.64,162.64,163.28,32,1.0,,,,,,,7,0,0,0,0,0,0
group,2m 43s,2m 47s,[Untranscribed],4.218,163.28,167.498,33,,,,,,,,0,0,0,0,0,0,0
silence,2m 47s,2m 50s,,2.502,167.498,170.0,34,,,,,,,,0,0,0,0,0,0,0
teacher,2m 50s,2m 51s,Unfair treatment.,1.2,170.0,171.2,35,,,,,,,,0,0,0,0,0,0,0
teacher,2m 51s,2m 51s,,0.64,171.2,171.84,35,,,,,,,,0,0,0,0,0,0,0
teacher,2m 51s,2m 55s,Given what circumstances without getting to know them.,3.56,171.84,175.4,35,,,,,,,,0,0,0,0,0,0,0
teacher,2m 55s,2m 56s,"Thank you, Christian.",0.8,175.4,176.2,35,,,,,,,,0,0,0,0,0,0,0
teacher,2m 56s,2m 56s,Excellent job.,0.76,176.2,176.96,35,,,,,1.0,,,0,0,0,0,1,0,0
teacher,2m 56s,2m 57s,,0.88,176.96,177.84,35,,,,,,,,0,0,0,0,0,0,0
teacher,2m 57s,3m 0s,So now I want to see some hands.,3.04,177.84,180.88,35,,,,,,,,0,0,0,0,0,0,0
teacher,3m 0s,3m 1s,,0.32,180.88,181.2,35,,,,,,,,0,0,0,0,0,0,0
