speaker,start_time,end_time,utterance,duration_in_seconds,start_time_in_seconds,end_time_in_seconds,bubble_idx,opportunities_to_respond,wait_times,presses_for_explanation,open_ended_questions,praises,behavior_specific_praises,academic_specific_praises,opportunities_to_respond_instance_id,wait_times_instance_id,presses_for_explanation_instance_id,open_ended_questions_instance_id,praises_instance_id,behavior_specific_praises_instance_id,academic_specific_praises_instance_id
teacher,0m 0s,0m 0s,,0.88,0.0,0.88,0,,,,,,,,0,0,0,0,0,0,0
teacher,0m 0s,0m 1s,Okay.,0.36,0.88,1.24,0,,,,,,,,0,0,0,0,0,0,0
teacher,0m 1s,0m 3s,Raise your hand when you have your sheet out.,1.8,1.24,3.04,0,,,,,,,,0,0,0,0,0,0,0
teacher,0m 3s,0m 3s,,0.24,3.04,3.28,0,,,,,,,,0,0,0,0,0,0,0
teacher,0m 3s,0m 6s,It is cloud breaking apart figures to find volume.,2.96,3.28,6.24,0,,,,,,,,0,0,0,0,0,0,0
teacher,0m 6s,0m 6s,,0.56,6.24,6.8,0,,,,,,,,0,0,0,0,0,0,0
teacher,0m 6s,0m 7s,It is green.,0.88,6.8,7.68,0,,,,,,,,0,0,0,0,0,0,0
teacher,0m 7s,0m 8s,,0.88,7.68,8.56,0,,,,,,,,0,0,0,0,0,0,0
teacher,0m 8s,0m 14s,"Okay, all you need is a pencil and a printed piece of paper today, so you can stay in your seat for just a second.",5.72,8.56,14.28,0,,,,,,,,0,0,0,0,0,0,0
teacher,0m 14s,0m 16s,Thank you for remembering what we did yesterday.,1.72,14.28,16.0,0,,,,,1.0,,1.0,0,0,0,0,1,0,1
teacher,0m 16s,0m 16s,,0.24,16.0,16.24,0,,,,,,,,0,0,0,0,0,0,0
teacher,0m 16s,0m 16s,"Lucy, Ms.",0.64,16.24,16.88,0,,,,,,,,0,0,0,0,0,0,0
teacher,0m 16s,0m 18s,Erin has your green paper.,1.36,16.88,18.24,0,,,,,,,,0,0,0,0,0,0,0
teacher,0m 18s,0m 18s,,0.421,18.24,18.661,0,,,,,,,,0,0,0,0,0,0,0
silence,0m 18s,0m 20s,,1.979,18.661,20.64,1,,,,,,,,0,0,0,0,0,0,0
teacher,0m 20s,0m 21s,Thank you.,0.64,20.64,21.28,2,,,,,,,,0,0,0,0,0,0,0
student,0m 21s,0m 22s,[Untranscribed],1.04,21.28,22.32,3,,,,,,,,0,0,0,0,0,0,0
teacher,0m 22s,0m 23s,"All right, Amy, have what you need.",1.52,22.32,23.84,4,,,,,,,,0,0,0,0,0,0,0
student,0m 23s,0m 25s,[Untranscribed],1.28,23.84,25.12,5,,,,,,,,0,0,0,0,0,0,0
teacher,0m 25s,0m 25s,Green paper.,0.68,25.12,25.8,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 25s,0m 27s,We put in our math book yesterday.,1.48,25.8,27.28,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 27s,0m 28s,,0.77,27.28,28.05,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 28s,0m 30s,Breaking apart figures to find volume.,2.24,28.05,30.29,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 30s,0m 31s,,1.6,30.29,31.89,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 31s,0m 35s,"Okay, for a second, I'd like to have you guys talk with your neighbor.",3.36,31.89,35.25,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 35s,0m 35s,,0.32,35.25,35.57,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 35s,0m 36s,What are we learning this week?,1.4,35.57,36.97,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 36s,0m 38s,What are we trying to accomplish?,1.4,36.97,38.37,6,,,,,,,,0,0,0,0,0,0,0
teacher,0m 38s,0m 38s,,0.16,38.37,38.53,6,,,,,,,,0,0,0,0,0,0,0
