speaker,start_time,end_time,utterance,duration_in_seconds,start_time_in_seconds,end_time_in_seconds,bubble_idx,opportunities_to_respond,wait_times,presses_for_explanation,open_ended_questions,praises,behavior_specific_praises,academic_specific_praises
group,0m 0s,0m 19s,[Untranscribed],19.99,0,19.99,0,,,,,,,
teacher,0m 19s,0m 22s,,2.57,19.99,22.56,1,,,,,,,
teacher,0m 22s,0m 28s,"Conversations, then talking in 3, 2, 1, and shutting.",5.76,22.56,28.32,1,,,,,,,
teacher,0m 28s,0m 30s,"If you have your computer up, let's shut those.",1.92,28.32,30.24,1,,,,,,,
teacher,0m 30s,0m 30s,,0.56,30.24,30.8,1,,,,,,,
teacher,0m 30s,0m 31s,Everyone should know how.,1.11,30.8,31.91,1,,,,,,,
teacher,0m 31s,0m 32s,,0.15,31.91,32.06,1,,,,,,,
teacher,0m 32s,0m 34s,Have an article in front of them called Bike riding in middle School.,2.8,32.06,34.86,1,,,,,,,
student,0m 34s,0m 51s,[Untranscribed],16.64,34.86,51.5,2,,,,,,,
silence,0m 51s,0m 55s,,4.16,51.5,55.66,3,,,,,,,
teacher,0m 55s,0m 56s,All right.,0.48,55.66,56.14,4,,,,,,,
teacher,0m 56s,1m 1s,Our article is called Bike riding in Middle School may boost mental health study fines.,4.96,56.14,61.1,4,,,,,,,
teacher,1m 1s,1m 1s,,0.48,61.1,61.58,4,,,,,,,
teacher,1m 1s,1m 3s,Do we need to put the highlighters back?,2.16,61.58,63.74,4,,,,,,,
teacher,1m 3s,1m 4s,,0.62,63.74,64.36,4,,,,,,,
teacher,1m 4s,1m 6s,Can we like stop talking about them?,1.92,64.36,66.28,4,,,,,,,
teacher,1m 6s,1m 7s,,0.795,66.28,67.075,4,,,,,,,
silence,1m 7s,1m 9s,,1.925,67.075,69.0,5,,,,,,,
teacher,1m 9s,1m 11s,Stop like freaking out about highlighters?,2.08,69.0,71.08,6,,,,,,,
teacher,1m 11s,1m 11s,,0.045,71.08,71.125,6,,,,,,,
silence,1m 11s,1m 14s,,3.054,71.125,74.18,7,,,,,,,
student,1m 14s,1m 15s,[Untranscribed],1.7,74.18,75.88,8,,,,,,,
teacher,1m 15s,1m 17s,So we're going to read the article out loud.,1.84,75.88,77.72,9,,,,,,,
teacher,1m 17s,1m 18s,,0.64,77.72,78.36,9,,,,,,,
teacher,1m 18s,1m 20s,We're going to focus on reading it first.,1.76,78.36,80.12,9,,,,,,,
teacher,1m 20s,1m 20s,,0.32,80.12,80.44,9,,,,,,,
teacher,1m 20s,1m 24s,We'll stop and highlight some specific things or underlying things.,3.76,80.44,84.2,9,,,,,,,
teacher,1m 24s,1m 24s,,0.64,84.2,84.84,9,,,,,,,
teacher,1m 24s,1m 30s,"And then our activity after this, we're going to be looking for specific evidence for certain questions.",5.85,84.84,90.69,9,,,,,,,
student,1m 30s,1m 32s,,1.52,90.69,92.21,10,,,,,,,
student,1m 32s,1m 33s,I will read.,0.96,92.21,93.17,10,,,,,,,
student,1m 33s,1m 34s,,1.04,93.17,94.21,10,,,,,,,
teacher,1m 34s,1m 38s,"Well, actually, before we start reading, what are some predictions?",4.0,94.21,98.21,11,1,,,1,,,
teacher,1m 38s,1m 38s,,0.16,98.21,98.37,11,1,,,1,,,
teacher,1m 38s,1m 39s,Raise your hand.,0.64,98.37,99.01,11,1,,,1,,,
teacher,1m 39s,1m 41s,What do you think we're going to read about today?,2.0,99.01,101.01,11,1,,,1,,,
teacher,1m 41s,1m 41s,,0.88,101.01,101.89,11,1,,,1,,,
teacher,1m 41s,1m 44s,It could be very surface level answers.,2.2,101.89,104.09,11,1,,,1,,,
teacher,1m 44s,1m 44s,Bracken.,0.6,104.09,104.69,11,1,,,1,,,
student,1m 44s,1m 45s,Bike riding.,1.039,104.69,105.729,12,,,,,,,
student,1m 45s,1m 45s,,0.081,105.729,105.81,12,,,,,,,
teacher,1m 45s,1m 46s,Bike riding.,0.8,105.81,106.61,13,,,,,,,
teacher,1m 46s,1m 47s,Okay.,0.48,106.61,107.09,13,,,,,,,
teacher,1m 47s,1m 47s,,0.48,107.09,107.57,13,,,,,,,
student,1m 47s,1m 50s,"Janessa, how bike riding means mental health.",2.8,107.57,110.37,14,,,,,,,
student,1m 50s,1m 50s,,0.08,110.37,110.45,14,,,,,,,
teacher,1m 50s,1m 51s,Bike riding and mental health.,1.36,110.45,111.81,15,,,,,,,
teacher,1m 51s,1m 53s,Paisley study.,1.2,111.81,113.01,15,,,,,,,
teacher,1m 53s,1m 53s,,0.56,113.01,113.57,15,,,,,,,
teacher,1m 53s,1m 58s,A Steady Lillian Middle School Bike grade in middle school.,5.32,113.57,118.89,15,,,,,,,
teacher,1m 58s,1m 59s,,0.88,118.89,119.77,15,,,,,,,
teacher,1m 59s,2m 2s,"Okay, we got all the surface level answers.",2.4,119.77,122.17,15,,,,,,,
teacher,2m 2s,2m 2s,,0.8,122.17,122.97,15,,,,,,,
teacher,2m 2s,2m 5s,Everyone pointing to teaching middle schoolers.,2.16,122.97,125.13,15,,,,,,,
teacher,2m 5s,2m 9s,The very first paragraph pointing to teaching middle schoolers.,4.8,125.13,129.93,15,,,,,,,
student,2m 9s,2m 12s,[Untranscribed],2.8,129.93,132.73,16,,,,,,,
teacher,2m 12s,2m 13s,Thank you.,0.52,132.73,133.25,17,,,,,,,
teacher,2m 13s,2m 18s,If you're already pointing teaching middle schoolers or pointing to the first sentence.,5.72,133.25,138.97,17,,,,,,,
silence,2m 18s,2m 27s,,8.532,138.97,147.502,18,,,,,,,
student,2m 27s,2m 28s,,1.308,147.502,148.81,19,,,,,,,
student,2m 28s,2m 30s,Dylan and Daniel point to their accidents.,1.76,148.81,150.57,19,,,,,,,
student,2m 30s,2m 32s,,1.6,150.57,152.17,19,,,,,,,
teacher,2m 32s,2m 32s,Thank you.,0.64,152.17,152.81,20,,,,,,,
teacher,2m 32s,2m 33s,,0.32,152.81,153.13,20,,,,,,,
teacher,2m 33s,2m 35s,"Okay, I will read the first paragraph.",1.92,153.13,155.05,20,,,,,,,
teacher,2m 35s,2m 35s,,0.48,155.05,155.53,20,,,,,,,
