speaker,start_time,end_time,utterance,duration_in_seconds,start_time_in_seconds,end_time_in_seconds,bubble_idx,opportunities_to_respond,wait_times,presses_for_explanation,open_ended_questions,praises,behavior_specific_praises,academic_specific_praises
teacher,0m 0s,0m 0s,,0.48,0,0.48,0,,,,,,,
teacher,0m 0s,0m 3s,"You can just put it over there on the, on the table.",2.56,0.48,3.04,0,,,,,,,
group,0m 3s,0m 7s,[Untranscribed],4.16,3.04,7.2,1,,,,,,,
student,0m 7s,0m 8s,Put on my desk or that table.,1.44,7.2,8.64,2,,,,,,,
teacher,0m 8s,0m 9s,Or that.,0.48,8.64,9.12,3,,,,,,,
teacher,0m 9s,0m 10s,,0.88,9.12,10,3,,,,,,,
student,0m 10s,0m 14s,[Untranscribed],4.48,10,14.48,4,,,,,,,
teacher,0m 14s,0m 22s,"Okay, so what is a claim?",7.76,14.48,22.24,5,1,,,,,,
teacher,0m 22s,0m 22s,,0.268,22.24,22.508,5,,,,,,,
silence,0m 22s,0m 24s,,1.991,22.508,24.5,6,,,,,,,
student,0m 24s,0m 24s,,0.3,24.5,24.8,7,,,,,,,
student,0m 24s,0m 25s,Something.,0.4,24.8,25.2,7,,,,,,,
student,0m 25s,0m 25s,,0.77,25.2,25.97,7,,,,,,,
student,0m 25s,0m 26s,A coin.,0.64,25.97,26.61,7,,,,,,,
student,0m 26s,0m 27s,,0.4,26.61,27.01,7,,,,,,,
teacher,0m 27s,0m 29s,What A coin.,2.24,27.01,29.25,8,,,,,,,
teacher,0m 29s,0m 30s,,0.8,29.25,30.05,8,,,,,,,
teacher,0m 30s,0m 31s,What is a claim in bird.,1.52,30.05,31.57,8,1,,,,,,
teacher,0m 31s,0m 34s,"And when you're doing it, claim evidence freezing.",2.48,31.57,34.05,8,1,,,,,,
teacher,0m 34s,0m 34s,,0.457,34.05,34.507,8,,,,,,,
silence,0m 34s,0m 40s,,6.362,34.507,40.868,9,,,,,,,
student,0m 40s,0m 43s,[Untranscribed],2.542,40.868,43.41,10,,,,,,,
teacher,0m 43s,0m 46s,"Well, you're trying to, you're trying to answer a question, right?",2.72,43.41,46.13,11,,,,,,,
