speaker,start_time,end_time,utterance,duration_in_seconds,start_time_in_seconds,end_time_in_seconds,bubble_idx,opportunities_to_respond,wait_times,presses_for_explanation,open_ended_questions,praises,behavior_specific_praises,academic_specific_praises
teacher,0m 0s,0m 0s,,0.32,0,0.32,0,,,,,,,
teacher,0m 0s,0m 0s,¿Who?,0.24,0.32,0.56,0,,,,,,,
teacher,0m 0s,0m 0s,,0.4,0.56,0.96,0,,,,,,,
student,0m 0s,0m 2s,"White boy, right there.",1.12,0.96,2.08,1,,,,,,,
student,0m 2s,0m 5s,,3.2,2.08,5.28,1,,,,,,,
teacher,0m 5s,0m 6s,I don't believe that.,1.68,5.28,6.96,2,,,,,,,
student,0m 6s,0m 11s,[Untranscribed],4.72,6.96,11.68,3,,,,,,,
teacher,0m 11s,0m 12s,¿Did you really?,0.76,11.68,12.44,4,,,,,,,
teacher,0m 12s,0m 13s,¿Did you put your hands on them?,1.48,12.44,13.92,4,,,,,,,
teacher,0m 13s,0m 14s,,0.48,13.92,14.4,4,,,,,,,
student,0m 14s,0m 15s,Watch yourself.,0.8,14.4,15.2,5,,,,,,,
student,0m 15s,0m 17s,,2.16,15.2,17.36,5,,,,,,,
teacher,0m 17s,0m 17s,All right.,0.4,17.36,17.76,6,,,,,,,
teacher,0m 17s,0m 19s,"Computers, no binders.",1.6,17.76,19.36,6,,,,,,,
teacher,0m 19s,0m 20s,Computer.,0.88,19.36,20.24,6,,,,,,,
teacher,0m 20s,0m 20s,,0.08,20.24,20.32,6,,,,,,,
teacher,0m 20s,0m 21s,Computer.,0.68,20.32,21.0,6,,,,,,,
student,0m 21s,0m 22s,I'm red computer.,1.04,21.0,22.04,7,,,,,,,
student,0m 22s,0m 22s,Daughter.,0.6,22.04,22.64,7,,,,,,,
student,0m 22s,0m 22s,,0.08,22.64,22.72,7,,,,,,,
teacher,0m 22s,0m 24s,"Computers, no binders.",1.44,22.72,24.16,8,,,,,,,
student,0m 24s,0m 25s,[Untranscribed],1.53,24.16,25.69,9,,,,,,,
teacher,0m 25s,0m 28s,"You know, I got paper for you.",2.96,25.69,28.65,10,,,,,,,
teacher,0m 28s,0m 29s,,0.72,28.65,29.37,10,,,,,,,
teacher,0m 29s,0m 30s,¿You got to do another quiz?,1.28,29.37,30.65,10,,,,,,,
teacher,0m 30s,0m 30s,,0.32,30.65,30.97,10,,,,,,,
student,0m 30s,0m 32s,¿Why is your boy so low?,1.6,30.97,32.57,11,,,,,,,
student,0m 32s,0m 33s,,0.48,32.57,33.05,11,,,,,,,
teacher,0m 33s,0m 37s,Because I finally ordered a forty gallon of battery for my head.,4.32,33.05,37.37,12,,,,,,,
teacher,0m 37s,0m 43s,My work so finally,5.92,37.37,43.29,12,,,,,,,
teacher,0m 43s,0m 45s,,2.0,43.29,45.29,12,,,,,,,
student,0m 45s,0m 49s,[Untranscribed],3.92,45.29,49.21,13,,,,,,,
teacher,0m 49s,0m 52s,"days over y no,",3.28,49.21,52.49,14,,,,,,,
student,0m 52s,0m 56s,[Untranscribed],3.92,52.49,56.41,15,,,,,,,
teacher,0m 56s,0m 56s,it's okay.,0.52,56.41,56.93,16,,,,,,,
teacher,0m 56s,1m 2s,"If you missed an airpod for today, then I will assign you one to you for homework.",5.32,56.93,62.25,16,,,,,,,
teacher,1m 2s,1m 2s,,0.4,62.25,62.65,16,,,,,,,
teacher,1m 2s,1m 3s,Okay.,0.52,62.65,63.17,16,,,,,,,
teacher,1m 3s,1m 4s,With exception of.,1.4,63.17,64.57,16,,,,,,,
teacher,1m 4s,1m 5s,,0.88,64.57,65.45,16,,,,,,,
teacher,1m 5s,1m 6s,Let's see.,0.72,65.45,66.17,16,,,,,,,
student,1m 6s,1m 7s,[Untranscribed],1.28,66.17,67.45,17,,,,,,,
teacher,1m 7s,1m 8s,This is fifth block.,1.2,67.45,68.65,18,,,,,,,
