speaker,start_time,end_time,utterance,duration_in_seconds,start_time_in_seconds,end_time_in_seconds,bubble_idx,opportunities_to_respond,wait_times,presses_for_explanation,open_ended_questions,praises,behavior_specific_praises,academic_specific_praises
silence,0m 0s,0m 23s,,23.92,0,23.92,0,,,,,,,
teacher,0m 23s,0m 27s,"All right, looks like most people are done writing, I think.",3.38,23.92,27.3,1,,,,,,,
teacher,0m 27s,0m 28s,What'd you guys put?,0.84,27.3,28.14,1,,,,,,,
teacher,0m 28s,0m 30s,So during this unit we will learn to what?,2.56,28.14,30.7,1,1,,,1,,,
teacher,0m 30s,0m 31s,,0.48,30.7,31.18,1,,,,,,,
teacher,0m 31s,0m 31s,Yes.,0.48,31.18,31.66,1,,,,,,,
teacher,0m 31s,0m 32s,,0.72,31.66,32.38,1,,,,,,,
teacher,0m 32s,0m 33s,Find the central area.,0.8,32.38,33.18,1,,,,,,,
teacher,0m 33s,0m 37s,Why is that useful put for that second part or helpful?,4.16,33.18,37.34,1,1,,1,1,,,
teacher,0m 37s,0m 38s,,1.149,37.34,38.489,1,,,,,,,
student,0m 38s,0m 38s,,0.451,38.489,38.94,2,,,,,,,
student,0m 38s,0m 39s,Yeah.,0.48,38.94,39.42,2,,,,,,,
student,0m 39s,0m 39s,,0.16,39.42,39.58,2,,,,,,,
teacher,0m 39s,0m 40s,Or just if you have it.,1.24,39.58,40.82,3,,,,,,,
teacher,0m 40s,0m 41s,Do you have it?,0.52,40.82,41.34,3,,,,,,,
teacher,0m 41s,0m 41s,,0.24,41.34,41.58,3,,,,,,,
teacher,0m 41s,0m 42s,Yeah.,0.48,41.58,42.06,3,,,,,,,
teacher,0m 42s,0m 42s,,0.16,42.06,42.22,3,,,,,,,
student,0m 42s,0m 42s,Cool.,0.48,42.22,42.7,4,,,,,,,
student,0m 42s,0m 44s,,1.36,42.7,44.06,4,,,,,,,
teacher,0m 44s,0m 44s,Okay.,0.6,44.06,44.66,5,,,,,,,
teacher,0m 44s,0m 45s,Yeah.,0.44,44.66,45.1,5,,,,,,,
student,0m 45s,0m 49s,"Oh, because it will help me save time and not get stressed.",4.4,45.1,49.5,6,,,,,,,
student,0m 49s,0m 49s,,0.08,49.5,49.58,6,,,,,,,
teacher,0m 49s,0m 50s,Nice.,0.48,49.58,50.06,7,,,,,1,,1
teacher,0m 50s,0m 50s,,0.32,50.06,50.38,7,,,,,1,,1
teacher,0m 50s,0m 52s,"Save time, not get stressed.",1.64,50.38,52.02,7,,,,,1,,1
teacher,0m 52s,0m 57s,Also you'll be able to figure out the most important point of whatever you're reading or seeing.,5.52,52.02,57.54,7,,,,,,,
teacher,0m 57s,0m 59s,That's kind of for the summary statement too.,1.56,57.54,59.1,7,,,,,,,
teacher,0m 59s,0m 59s,,0.16,59.1,59.26,7,,,,,,,
teacher,0m 59s,0m 59s,Cool.,0.48,59.26,59.74,7,,,,,,,
teacher,0m 59s,1m 0s,So not just about history.,1.12,59.74,60.86,7,,,,,,,
teacher,1m 0s,1m 0s,,0.08,60.86,60.94,7,,,,,,,
teacher,1m 0s,1m 3s,Giving skills that will help you in school and in life.,2.64,60.94,63.58,7,,,,,,,
student,1m 3s,1m 4s,[Untranscribed],1.12,63.58,64.7,8,,,,,,,
teacher,1m 4s,1m 7s,"Alright, so that was it for the do now the learning goal today.",2.68,64.7,67.38,9,,,,,,,
teacher,1m 7s,1m 16s,"So today's mostly focusing on just content like learning about the geography of Rome since it's our new unit, Unit one, officially.",8.72,67.38,76.1,9,,,,,,,
teacher,1m 16s,1m 24s,"I know you guys read a little bit yesterday about some daily life stuff, but we're gonna rewind a little bit and talk about like what their location was like.",8.12,76.1,84.22,9,,,,,,,
teacher,1m 24s,1m 24s,,0.08,84.22,84.3,9,,,,,,,
teacher,1m 24s,1m 26s,"If you want, you know, you can put page 10 in your binder.",2.57,84.3,86.87,9,,,,,,,
teacher,1m 26s,1m 27s,,0.16,86.87,87.03,9,,,,,,,
teacher,1m 27s,1m 29s,We're going to be adding to this a little bit as we go.,2.88,87.03,89.91,9,,,,,,,
teacher,1m 29s,1m 30s,,0.32,89.91,90.23,9,,,,,,,
teacher,1m 30s,1m 35s,"You see there we got the grapes on the back, little graphic organizer on the back.",5.32,90.23,95.55,9,,,,,,,
teacher,1m 35s,1m 39s,"But if you want to put page in in your binder so it's not in your way, that's fine.",3.8,95.55,99.35,9,,,,,,,
teacher,1m 39s,1m 39s,,0.277,99.35,99.627,9,,,,,,,
silence,1m 39s,1m 58s,,18.883,99.627,118.51,10,,,,,,,
student,1m 58s,2m 0s,[Untranscribed],2.34,118.51,120.85,11,,,,,,,
teacher,2m 0s,2m 4s,"Okay, so I can explain how the Romans benefited.",3.36,120.85,124.21,12,,,,,,,
teacher,2m 4s,2m 4s,,0.48,124.21,124.69,12,,,,,,,
teacher,2m 4s,2m 6s,So we're talking how it helped them.,1.68,124.69,126.37,12,,,,,,,
teacher,2m 6s,2m 8s,These are all the positive things helped.,2.24,126.37,128.61,12,,,,,,,
teacher,2m 8s,2m 9s,,0.8,128.61,129.41,12,,,,,,,
teacher,2m 9s,2m 10s,So geography.,1.28,129.41,130.69,12,,,,,,,
teacher,2m 10s,2m 10s,Right.,0.28,130.69,130.97,12,,,,,,,
teacher,2m 10s,2m 13s,"Mountains, rivers, lakes, valleys, all that good stuff.",2.44,130.97,133.41,12,,,,,,,
teacher,2m 13s,2m 19s,How did that help the Romans basically thrive and become one of the biggest empires in history?,5.67,133.41,139.08,12,,,,,,,
teacher,2m 19s,2m 22s,A lot of it does have to do with their location and geography.,3.6,139.08,142.68,12,,,,,,,
teacher,2m 22s,2m 24s,"Okay, that's what we'll talk about today.",1.88,142.68,144.56,12,,,,,,,
teacher,2m 24s,2m 25s,,0.48,144.56,145.04,12,,,,,,,
teacher,2m 25s,2m 26s,Before we get into the reading.,1.92,145.04,146.96,12,,,,,,,
teacher,2m 26s,2m 28s,We're gonna do a little map analysis.,1.92,146.96,148.88,12,,,,,,,
teacher,2m 28s,2m 29s,,0.16,148.88,149.04,12,,,,,,,
