speaker,start_time,end_time,utterance,duration_in_seconds,start_time_in_seconds,end_time_in_seconds,bubble_idx,opportunities_to_respond,wait_times,presses_for_explanation,open_ended_questions,praises,behavior_specific_praises,academic_specific_praises
student,0m 0s,0m 1s,[Untranscribed],1.2,0,1.2,0,,,,,,,
teacher,0m 1s,0m 2s,"All right, sit on the animals.",1.08,1.2,2.28,1,,,,,,,
teacher,0m 2s,0m 3s,I need to see pockets and seats.,1.48,2.28,3.76,1,,,,,,,
teacher,0m 3s,0m 3s,,0.08,3.76,3.84,1,,,,,,,
teacher,0m 3s,0m 6s,"Oscar, no estuyo es mio.",2.32,3.84,6.16,1,,,,,,,
teacher,0m 6s,0m 6s,,0.56,6.16,6.72,1,,,,,,,
teacher,0m 6s,0m 7s,Quiero que?,0.8,6.72,7.52,1,,,,,,,
student,0m 7s,0m 19s,[Untranscribed],11.76,7.52,19.28,2,,,,,,,
teacher,0m 19s,0m 20s,"All right, my dears.",0.88,19.28,20.16,3,,,,,,,
student,0m 20s,0m 21s,[Untranscribed],1.36,20.16,21.52,4,,,,,,,
teacher,0m 21s,0m 23s,Look at all these letters that we have.,1.6,21.52,23.12,5,,,,,,,
teacher,0m 23s,0m 26s,,2.93,23.12,26.05,5,,,,,,,
teacher,0m 26s,0m 26s,"Ariel, sit.",0.8,26.05,26.85,5,,,,,,,
teacher,0m 26s,0m 26s,,0.08,26.85,26.93,5,,,,,,,
teacher,0m 26s,0m 29s,"Pockets, look at my big cards.",2.64,26.93,29.57,5,,,,,,,
teacher,0m 29s,0m 30s,What letter is this?,0.88,29.57,30.45,5,1,,,,,,
teacher,0m 30s,0m 30s,,0.057,30.45,30.507,5,,,,,,,
student,0m 30s,0m 31s,[Untranscribed],1.303,30.507,31.81,6,,,,,,,
teacher,0m 31s,0m 32s,What about this one?,0.96,31.81,32.77,7,1,,,,,,
teacher,0m 32s,0m 34s,,1.28,32.77,34.05,7,1,,,,,,
teacher,0m 34s,0m 34s,What is this?,0.72,34.05,34.77,7,1,,,,,,
teacher,0m 34s,0m 35s,,0.8,34.77,35.57,7,,,,,,,
teacher,0m 35s,0m 36s,Apple.,0.64,35.57,36.21,7,,,,,,,
teacher,0m 36s,0m 36s,,0.24,36.21,36.45,7,,,,,,,
teacher,0m 36s,0m 38s,What sound does this letter make?,1.92,36.45,38.37,7,1,,,,,,
teacher,0m 38s,0m 40s,,1.92,38.37,40.29,7,,,,,,,
teacher,0m 40s,0m 41s,I'm gonna show you how to do it fast.,1.08,40.29,41.37,7,,,,,,,
teacher,0m 41s,0m 43s,"You go A, A, apple.",2.52,41.37,43.89,7,,,,,,,
teacher,0m 43s,0m 44s,,0.32,43.89,44.21,7,,,,,,,
teacher,0m 44s,0m 44s,Apple.,0.64,44.21,44.85,7,,,,,,,
student,0m 44s,0m 46s,[Untranscribed],1.2,44.85,46.05,8,,,,,,,
teacher,0m 46s,0m 46s,Now you try it again.,0.88,46.05,46.93,9,,,,,,,
teacher,0m 46s,0m 51s,"But you gotta remember, you gotta watch your teacher's pointer finger so you know where you're going.",4.08,46.93,51.01,9,,,,,,,
teacher,0m 51s,0m 51s,,0.16,51.01,51.17,9,,,,,,,
teacher,0m 51s,0m 51s,Hands are out.,0.76,51.17,51.93,9,,,,,,,
teacher,0m 51s,0m 53s,You are ready and you're focused.,1.72,51.93,53.65,9,,,,,,,
teacher,0m 53s,0m 54s,,0.74,53.65,54.39,9,,,,,,,
teacher,0m 54s,0m 55s,Laser focus.,0.72,54.39,55.11,9,,,,,,,
student,0m 55s,0m 56s,[Untranscribed],1.28,55.11,56.39,10,,,,,,,
teacher,0m 56s,0m 57s,Watching.,0.64,56.39,57.03,11,,,,,,,
teacher,0m 57s,0m 58s,,1.28,57.03,58.31,11,,,,,,,
teacher,0m 58s,1m 2s,"O, A, apple.",3.76,58.31,62.07,11,,,,,,,
teacher,1m 2s,1m 3s,,0.96,62.07,63.03,11,,,,,,,
teacher,1m 3s,1m 4s,"This is our sound, right?",1.36,63.03,64.39,11,,,,,,,
teacher,1m 4s,1m 5s,,0.64,64.39,65.03,11,,,,,,,
teacher,1m 5s,1m 5s,"Okay, ready.",0.8,65.03,65.83,11,,,,,,,
teacher,1m 5s,1m 6s,,0.8,65.83,66.63,11,,,,,,,
teacher,1m 6s,1m 8s,Should I do them in order?,2.12,66.63,68.75,11,,,,,,,
teacher,1m 8s,1m 10s,And then maybe we'll mix them up?,1.64,68.75,70.39,11,,,,,,,
teacher,1m 10s,1m 10s,,0.482,70.39,70.872,11,,,,,,,
student,1m 10s,1m 12s,[Untranscribed],2.078,70.872,72.95,12,,,,,,,
teacher,1m 12s,1m 13s,Okay.,0.32,72.95,73.27,13,,,,,,,
teacher,1m 13s,1m 13s,Okay.,0.24,73.27,73.51,13,,,,,,,
teacher,1m 13s,1m 13s,Okay.,0.48,73.51,73.99,13,,,,,,,
teacher,1m 13s,1m 14s,,0.4,73.99,74.39,13,,,,,,,
teacher,1m 14s,1m 16s,"Well, we've got to practice with our letters first.",1.76,74.39,76.15,13,,,,,,,
teacher,1m 16s,1m 16s,So we did A.,0.72,76.15,76.87,13,,,,,,,
student,1m 16s,1m 18s,[Untranscribed],1.52,76.87,78.39,14,,,,,,,
teacher,1m 18s,1m 18s,A.,0.4,78.39,78.79,15,,,,,,,
student,1m 18s,1m 20s,[Untranscribed],1.9,78.79,80.69,16,,,,,,,
teacher,1m 20s,1m 21s,You got B.,1.28,80.69,81.97,17,,,,,1,,1
teacher,1m 21s,1m 24s,,2.32,81.97,84.29,17,,,,,,,
teacher,1m 24s,1m 25s,"Oh, this is a bat.",1.12,84.29,85.41,17,,,,,,,
teacher,1m 25s,1m 26s,,0.88,85.41,86.29,17,,,,,,,
