speaker,start_time,end_time,utterance,duration_in_seconds,start_time_in_seconds,end_time_in_seconds,bubble_idx,opportunities_to_respond,wait_times,presses_for_explanation,open_ended_questions,praises,behavior_specific_praises,academic_specific_praises
silence,0m 0s,0m 1s,,1.837,0,1.837,0,,,,,,,
student,0m 1s,0m 2s,[Untranscribed],1.043,1.837,2.88,1,,,,,,,
teacher,0m 2s,0m 3s,Okay.,0.28,2.88,3.16,2,,,,,,,
teacher,0m 3s,0m 4s,What'd you say?,0.84,3.16,4.0,2,1,,,,,,
teacher,0m 4s,0m 4s,,0.4,4.0,4.4,2,,,,,,,
student,0m 4s,0m 5s,A little Christmas light.,1.52,4.4,5.92,3,,,,,,,
student,0m 5s,0m 7s,,1.52,5.92,7.44,3,,,,,,,
teacher,0m 7s,0m 10s,"Hey, like what?",2.56,7.44,10.0,4,1,,,1,,,
teacher,0m 10s,0m 10s,,0.96,10.0,10.96,4,,,,,,,
student,0m 10s,0m 13s,Like those things.,2.08,10.96,13.04,5,,,,,,,
student,0m 13s,0m 13s,,0.08,13.04,13.12,5,,,,,,,
student,0m 13s,0m 13s,What?,0.4,13.12,13.52,5,,,,,,,
student,0m 13s,0m 13s,,0.08,13.52,13.6,5,,,,,,,
student,0m 13s,0m 15s,Like are tiny.,2.0,13.6,15.6,5,,,,,,,
student,0m 15s,0m 17s,,2.08,15.6,17.68,5,,,,,,,
teacher,0m 17s,0m 19s,The lights on the tree.,1.36,17.68,19.04,6,,,,,,,
teacher,0m 19s,0m 19s,,0.24,19.04,19.28,6,,,,,,,
teacher,0m 19s,0m 21s,What other things do people do for Christmas?,2.48,19.28,21.76,6,1,,,1,,,
student,0m 21s,0m 22s,,1.2,21.76,22.96,7,,,,,,,
student,0m 22s,0m 24s,Open presents.,1.36,22.96,24.32,7,,,,,,,
student,0m 24s,0m 24s,,0.48,24.32,24.8,7,,,,,,,
teacher,0m 24s,0m 26s,"Hey, we do presents.",1.44,24.8,26.24,8,,,,,,,
teacher,0m 26s,0m 27s,We give gifts to people.,1.44,26.24,27.68,8,,,,,,,
teacher,0m 27s,0m 28s,,0.48,27.68,28.16,8,,,,,,,
teacher,0m 28s,0m 29s,What else do we do for Christmas?,1.52,28.16,29.68,8,1,,,1,,,
teacher,0m 29s,0m 29s,,0.08,29.68,29.76,8,,,,,,,
student,0m 29s,0m 31s,Give grand gifts.,1.76,29.76,31.52,9,,,,,,,
